"名前","住所","LocName","fX","fY","iConf","iLvl"
佐賀南バイパス店,佐賀県佐賀市本庄町袋306-6,"佐賀県/佐賀市/本庄町/袋/３０６番地","130.29895","33.23963","5","7"
佐賀大学通り店,佐賀県佐賀市与賀町70-1,"佐賀県/佐賀市/与賀町","130.29233","33.24775","5","5"
鳥栖プレミアム・アウトレット店,佐賀県鳥栖市弥生が丘8-1,"佐賀県/鳥栖市/弥生が丘/八丁目/１番地","130.51180","33.40625","5","7"
TSUTAYA鳥栖店,佐賀県鳥栖市本鳥栖町537-1,"佐賀県/鳥栖市/本鳥栖町/５３７番地","130.51765","33.37719","5","7"
鳥栖蔵上町店,佐賀県鳥栖市蔵上町662-5,"佐賀県/鳥栖市/蔵上町/６６２番地","130.49841","33.37589","5","7"
基山パーキングエリア（上り線）店,佐賀県三養基郡基山町小倉2097-1,"佐賀県/三養基郡/基山町/小倉/２０９７番地","130.52980","33.44065","5","7"
蔦屋書店武雄市図書館店,佐賀県武雄市武雄町武雄5304-1,"佐賀県/武雄市/武雄町/武雄/５３０４番地","130.02309","33.18890","5","7"
佐賀武雄店,佐賀県武雄市武雄町昭和277,"佐賀県/武雄市/武雄町/昭和/２７７番地","130.02740","33.19331","5","7"
唐津店,佐賀県唐津市和多田西山1-46-1,"佐賀県/唐津市/和多田西山/１番","129.98250","33.43112","5","7"
金立サービスエリア（下り線）店,佐賀県佐賀市金立町金立1197-57,"佐賀県/佐賀市/金立町/金立/１１９７番地","130.30605","33.33792","5","7"
ゆめタウン佐賀店,佐賀県佐賀市兵庫北5-14-1,"佐賀県/佐賀市/兵庫北/五丁目/１４番","130.30818","33.27565","5","7"
